Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
69,Lucas Biglia,ar ARG,MF,Lazio,30,1986,29,28,"2,264",25.2,4,3,7,1,3,5,8,0,0.16,0.12,0.28,0.04,0.16,Matches,2016-2017
70,Davide Biondini,it ITA,MF,Sassuolo,33,1983,14,9,854,9.5,0,1,1,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches,2016-2017
71,Cristiano Biraghi,it ITA,"DF,MF",Pescara,23,1992,35,33,"2,987",33.2,1,4,5,0,1,2,11,0,0.03,0.12,0.15,0,0.12,Matches,2016-2017
72,Davide Biraschi,it ITA,DF,Genoa,22,1994,7,4,395,4.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2016-2017
73,Valter Birsa,si SVN,"FW,MF",Chievo,29,1986,35,34,"2,761",30.7,7,9,16,7,0,0,5,0,0.23,0.29,0.52,0.23,0.52,Matches,2016-2017
74,Luca Bittante,it ITA,"DF,MF",Cagliari,22,1993,5,3,312,3.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2016-2017
75,Albano Bizzarri,ar ARG,GK,Pescara,38,1977,29,29,"2,610",29,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2016-2017
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2016-2017
76,Giacomo Bonaventura,it ITA,"FW,MF",Milan,26,1989,19,19,"1,566",17.4,3,3,6,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,2016-2017
77,Leonardo Bonucci,it ITA,DF,Juventus,29,1987,29,26,"2,409",26.8,3,0,3,3,0,0,5,0,0.11,0,0.11,0.11,0.11,Matches,2016-2017
